page_id	source_id	order_key	printed_page	pdf_page	section	page_kind	pass1	pass2	source_oid
PG-TASAKI2020-0105	TASAKI2020	000105	92	105	§4.1.2	content	complete	complete	665f126ff7f2fd85c2267f89abe9cd50f4383bef
PG-TASAKI2020-0106	TASAKI2020	000106	93	106	§4.1.2	content	complete	complete	3c764db8f16d7882060a6a07712a5f54c1bf6c29
PG-TASAKI2020-0107	TASAKI2020	000107	94	107	§4.2	content	complete	complete	e5ff05eac6b3ff74bf260906f23472acde9222bb
PG-TASAKI2020-0108	TASAKI2020	000108	95	108	§4.2.1	content	complete	complete	09791cf4e99f05496078115cc720e21c8a86b18c
PG-TASAKI2020-0109	TASAKI2020	000109	96	109	§4.2.1	content	complete	complete	637bc5881bfc6268b6ccae525bcfea57e7fdcf38
PG-TASAKI2020-0110	TASAKI2020	000110	97	110	§4.2.1	content	complete	complete	3aed1a177fcd732eae9a081d31467697b0d9670a
PG-TASAKI2020-0111	TASAKI2020	000111	98	111	§4.2.1	content	complete	complete	9563b151187189310bab3a18ec0aa78e596cd2a4
PG-TASAKI2020-0112	TASAKI2020	000112	99	112	§4.2.1	content	complete	complete	d379358b95a3d47ed23e29f89b2897929630b774
PG-TASAKI2020-0113	TASAKI2020	000113	100	113	§4.2.1	content	complete	complete	e7d3005ddcfbd306def7656985de4702465d819c
PG-TASAKI2020-0114	TASAKI2020	000114	101	114	§4.2.1	content	complete	complete	628a25b7994cfec12f9812d89464778ff20713d6
PG-TASAKI2020-0115	TASAKI2020	000115	102	115	§4.2.1	content	complete	complete	a50dc533f86046b0bd679f7b8c528d665b738b1c
PG-TASAKI2020-0116	TASAKI2020	000116	103	116	§4.2.1	content	complete	complete	6b716ab068c1a0db2aaf15e81662c1cef6f35075
PG-TASAKI2020-0117	TASAKI2020	000117	104	117	§4.2.1	content	complete	complete	676a52faec6bdab2a5765ae5077716d8aed82e30
PG-TASAKI2020-0118	TASAKI2020	000118	105	118	§4.2.2	content	complete	complete	d0a1265d0dbaa661da316670157c3a7aba0632ef
PG-TASAKI2020-0119	TASAKI2020	000119	106	119	§4.2.2	content	complete	complete	b8f2e92ff6d235f6e5e7360c693ef3748f2eb02a
PG-TASAKI2020-0120	TASAKI2020	000120	107	120	§4.2.2	content	complete	complete	6fd0c01b0ad5747749c2e452cd6228588985cffb
PG-TASAKI2020-0121	TASAKI2020	000121	108	121	§4.2.2	content	complete	complete	b3a2c946596602e3749730cef84766ab4784392b
PG-TASAKI2020-0122	TASAKI2020	000122	109	122	§4.2.2	content	complete	complete	742c8c77f1ff570467957473f8503fdeecadb4e5
PG-TASAKI2020-0123	TASAKI2020	000123	110	123	§4.2.2	content	complete	complete	8c69fb06f34944891ad6ab8e1bfba1647a756751
PG-TASAKI2020-0124	TASAKI2020	000124	111	124	§4.2.2	content	complete	complete	1413e2ef66dd11528baa2481fe512492c4e5991a
PG-TASAKI2020-0125	TASAKI2020	000125	112	125	§4.2.2	content	complete	complete	b1573b7527e75f4d7441ca1b2be566d80f5905a2
